(245,242,196)|(188,207,159)|(63,176,148)|(135,36,76)|(48,22,43)|
(85,66,54)|(247,120,37)|(211,206,61)|(241,239,165)|(96,185,154)|
(24,72,72)|(0,96,96)|(0,120,120)|(168,192,48)|(240,240,216)|
(198,213,174)|(241,234,155)|(247,200,105)|(143,123,85)|(214,197,132)|
(241,230,143)|(255,151,111)|(255,100,100)|(85,73,57)|(112,108,77)|
(187,191,65)|(242,237,208)|(240,163,67)|(224,93,73)|(189,47,97)|
(80,63,84)|(252,98,113)|(235,184,143)|(186,222,146)|(235,246,154)|
(23,167,104)|(241,96,29)|(241,173,29)|(231,224,210)|(187,174,147)|
(225,198,177)|(204,192,180)|(174,184,183)|(203,201,186)|(219,212,194)|
(0,0,0)|(132,81,35)|(110,12,67)|(194,146,173)|(231,232,216)|
(3,5,30)|(241,4,58)|(200,89,69)|(145,174,143)|(178,194,165)|
(65,78,60)|(73,112,81)|(119,115,80)|(180,115,77)|(240,109,91)|
(195,182,165)|(179,166,147)|(146,134,110)|(109,101,80)|(19,16,1)|
(64,42,56)|(101,115,113)|(128,166,148)|(198,217,184)|(140,166,46)|
(224,196,67)|(217,164,95)|(179,156,125)|(115,140,133)|(103,158,141)|
(43,34,25)|(172,20,70)|(223,146,104)|(213,197,137)|(168,181,132)|
(70,77,85)|(43,138,132)|(181,186,120)|(221,212,203)|(139,187,197)|
(28,44,78)|(52,81,123)|(156,134,137)|(170,164,166)|(189,191,190)|
(168,192,216)|(240,216,216)|(168,168,168)|(48,72,96)|(48,72,72)|
(125,179,44)|(21,151,110)|(16,66,65)|(56,45,36)|(117,62,1)|
(117,85,100)|(222,80,131)|(249,83,104)|(251,102,100)|(244,121,121)|
(115,118,101)|(60,62,79)|(232,227,189)|(131,147,102)|(149,169,108)|
(255,77,77)|(237,255,209)|(126,166,147)|(85,92,94)|(48,48,64)|
(255,204,51)|(255,170,84)|(237,100,100)|(207,66,150)|(163,8,163)|
(195,184,150)|(70,55,67)|(153,120,89)|(236,184,108)|(241,206,119)|
(255,236,177)|(223,175,103)|(144,152,93)|(7,33,56)|(244,74,101)|
(207,188,52)|(255,87,6)|(243,40,13)|(219,15,77)|(150,124,105)|
(115,200,169)|(222,225,182)|(225,184,102)|(189,85,50)|(55,59,68)|
(224,239,241)|(125,180,181)|(255,255,255)|(104,1,72)|(0,0,0)|
(252,183,167)|(248,221,174)|(241,211,141)|(198,208,174)|(149,204,199)|
